STATE_NAME,ST_ABBREV,REGION,ACSTOTPOP,D_PNPL_2,B_PNPL_D2,P_PNPL_D2,D_PTSDF_2,B_PTSDF_D2,P_PTSDF_D2,D_PWDIS_2,B_PWDIS_D2,P_PWDIS_D2,DSLPM,B_DSLPM,P_DSLPM,PRE1960PCT,PNPL,B_PNPL,P_PNPL,PTSDF,B_PTSDF,P_PTSDF,PWDIS,B_PWDIS,P_PWDIS,MINORPCT,B_MINORPCT,P_MINORPCT,LOWINCPCT,B_LWINCPCT,P_LWINCPCT,T_PNPL,T_PNPL_D2,T_PTSDF,T_PTSDF_D2,T_PWDIS_D2,Shape_Length,Shape_Area
North Carolina,NC,4,1281,-0.720774669,6,52,-82.88187338,2,17,0,8,70,1.050203181,9,83,0.585331453,0.014884434,2,12,1.711560916,9,87,0,4,39,0.165495706,3,29,0.475409836,7,68,0.015 facilities/km distance (12%ile),52%ile,1.7 facilities/km distance (87%ile),17%ile,70%ile,5243.3268,1509192.366
North Carolina,NC,4,1215,-2.719726403,5,45,-267.1884276,1,7,0,8,70,1.050203181,9,83,0.770967742,0.017183019,2,18,1.688075592,9,87,0,4,39,0.15308642,3,26,0.302880658,4,38,0.017 facilities/km distance (18%ile),45%ile,1.7 facilities/km distance (87%ile),7%ile,70%ile,6887.203588,1836202.292
North Carolina,NC,4,1230,11.44242371,8,79,1261.511036,11,95,0,8,70,1.050203181,9,83,0.54950495,0.017043997,2,17,1.879076529,9,88,0,4,39,0.910569106,11,96,0.897560976,11,99,0.017 facilities/km distance (17%ile),79%ile,1.9 facilities/km distance (88%ile),95%ile,70%ile,7632.532526,2075336.187
North Carolina,NC,4,498,0.866406633,6,58,84.04454728,8,78,0,8,70,1.050203181,9,83,0.65,0.015438472,2,14,1.497587094,9,85,0,4,39,0.580321285,8,78,0.361570248,5,48,0.015 facilities/km distance (14%ile),58%ile,1.5 facilities/km distance (85%ile),78%ile,70%ile,5530.459295,1502839.708
North Carolina,NC,4,1326,6.041004089,8,71,530.5596688,10,90,115.2582041,11,99,0.83831983,8,72,0.664583333,0.017945382,2,19,1.576078369,9,86,0.342385547,11,98,0.545248869,8,75,0.679003021,10,91,0.018 facilities/km distance (19%ile),71%ile,1.6 facilities/km distance (86%ile),90%ile,99%ile,5059.140164,1562029.701
North Carolina,NC,4,530,3.811748203,7,66,274.2095101,9,85,16.56890458,11,97,0.83831983,8,72,0.597315436,0.01784319,2,19,1.283603239,9,83,0.077560766,11,95,0.71509434,9,87,0.80754717,11,97,0.018 facilities/km distance (19%ile),66%ile,1.3 facilities/km distance (83%ile),85%ile,97%ile,3792.645016,641777.6509
North Carolina,NC,4,930,5.569639413,8,70,579.0884108,10,90,0,8,70,0.83831983,8,72,0.849056604,0.017691347,2,19,1.83941067,9,88,0,4,39,0.538709677,8,74,0.85483871,11,98,0.018 facilities/km distance (19%ile),70%ile,1.8 facilities/km distance (88%ile),90%ile,70%ile,5081.834245,1466514.161
North Carolina,NC,4,1235,7.556493505,8,73,638.6170937,10,91,48.98645163,11,98,0.83831983,8,72,0.592459605,0.017861453,2,19,1.509513567,9,85,0.115790376,11,96,0.732793522,9,88,0.668836452,10,91,0.018 facilities/km distance (19%ile),73%ile,1.5 facilities/km distance (85%ile),91%ile,98%ile,7326.322802,1631481.582
North Carolina,NC,4,588,4.619744032,7,67,94.66901399,8,78,360.7953718,11,99,0.725529052,7,66,0.316770186,0.018564669,3,21,0.380432091,7,62,1.449873954,11,99,0.744897959,9,88,0.818027211,11,98,0.019 facilities/km distance (21%ile),67%ile,0.38 facilities/km distance (62%ile),78%ile,99%ile,10036.16435,3697371.01
North Carolina,NC,4,1189,4.749726692,7,68,268.3364373,9,85,141.4889028,11,99,0.725529052,7,66,0.490974729,0.015202002,2,13,0.85883912,8,76,0.452850183,11,98,0.659377628,9,83,0.582684825,9,83,0.015 facilities/km distance (13%ile),68%ile,0.86 facilities/km distance (76%ile),85%ile,99%ile,6924.866454,2092274.27
North Carolina,NC,4,1668,9.813998221,8,77,294.1165633,9,86,444.6714839,11,99,0.725529052,7,66,0.528138528,0.018498004,3,20,0.554368299,7,68,0.83814312,11,98,0.81294964,10,91,0.539703903,8,78,0.018 facilities/km distance (20%ile),77%ile,0.55 facilities/km distance (68%ile),86%ile,99%ile,6179.108817,1925962.004
North Carolina,NC,4,2021,12.08504432,9,80,466.2305681,9,89,1058.105113,11,99,0.725529052,7,66,0.3952,0.018665305,3,21,0.720091322,8,73,1.634239284,11,99,0.694705591,9,86,0.662537166,10,90,0.019 facilities/km distance (21%ile),80%ile,0.72 facilities/km distance (73%ile),89%ile,99%ile,8149.278906,2577694.33
North Carolina,NC,4,2357,10.5586898,8,78,713.2285129,10,92,836.0697634,11,99,0.725529052,7,66,0.285570131,0.0178479,2,19,1.205607096,9,82,1.413252025,11,99,0.711073398,9,86,0.507424692,8,73,0.018 facilities/km distance (19%ile),78%ile,1.2 facilities/km distance (82%ile),92%ile,99%ile,14335.36027,7180161.847
North Carolina,NC,4,2622,12.21650042,9,80,477.3311314,9,89,853.3869665,11,99,0.57607087,6,55,0.19205298,0.017535934,2,18,0.685175543,8,72,1.224977462,11,99,0.709763539,9,86,0.538138825,8,77,0.018 facilities/km distance (18%ile),80%ile,0.69 facilities/km distance (72%ile),89%ile,99%ile,18388.82879,11024072.12
North Carolina,NC,4,1426,10.22907305,8,77,347.1866112,9,87,557.8090614,11,99,0.57607087,6,55,0.311608961,0.016594533,2,16,0.563237696,7,69,0.90492859,11,98,0.867461431,10,94,0.713581985,10,93,0.017 facilities/km distance (16%ile),77%ile,0.56 facilities/km distance (69%ile),87%ile,99%ile,8386.139828,3645245.745
