County Name,Year,White ,Black Pop,Native,Asian,Hispanic,Other,Haw_PacIs,Two,Total Pop
Alamance County,2010,"107,420","28,369","1,020","1,837","16,639","15,342",58,"3,136","151,131"
Alexander County,2010,"33,324","2,043",98,360,"1,601","1,831",12,523,"37,198"
Alleghany County,2010,"10,288",140,27,54,"1,004",727,3,128,"11,155"
Anson County,2010,"12,707","13,090",165,288,812,"1,151",4,337,"26,948"
Ashe County,2010,"26,050",161,65,105,"1,311","1,070",8,279,"27,281"
Avery County,2010,"16,364",709,75,56,797,724,8,150,"17,797"
Beaufort County,2010,"32,551","12,223",208,165,"3,166","2,985",19,607,"47,759"
Bertie County,2010,"7,488","13,296",96,103,267,498,6,197,"21,282"
Bladen County,2010,"19,806","12,268",749,70,"2,502","3,116",5,518,"35,190"
Brunswick County,2010,"89,193","12,291",761,579,"5,549","5,947",38,"1,935","107,431"
Buncombe County,2010,"208,192","15,211",948,"2,417","14,254","14,915",289,"4,995","238,318"
Burke County,2010,"76,716","6,012",325,"3,185","4,634","8,184",303,"1,597","90,912"
Cabarrus County,2010,"134,149","27,219",659,"3,513","16,767","16,643",65,"3,742","178,011"
Caldwell County,2010,"74,925","4,086",257,428,"3,796","4,018",27,"1,258","83,029"
Camden County,2010,"8,193","1,316",33,146,215,471,5,213,"9,980"
Carteret County,2010,"59,346","4,041",316,580,"2,241","3,082",67,"1,307","66,469"
Caswell County,2010,"14,819","8,020",85,60,744,880,4,381,"23,719"
Catawba County,2010,"126,151","13,041",489,"5,352","13,032","15,166",53,"2,877","154,358"
Chatham County,2010,"48,237","8,392",344,703,"8,228","6,876",24,"1,186","63,505"
Cherokee County,2010,"25,700",350,363,132,688,"1,394",9,675,"27,444"
Chowan County,2010,"9,174","5,070",43,52,467,549,7,181,"14,793"
Clay County,2010,"10,231",64,32,24,258,292,2,153,"10,587"
Cleveland County,2010,"74,123","20,332",232,756,"2,756","3,623",24,"1,480","98,078"
Columbus County,2010,"35,735","17,713","1,845",154,"2,662","4,650",27,874,"58,098"
Craven County,2010,"72,441","23,193",504,"2,099","6,272","7,871",135,"2,772","103,505"
